Longitude,Latitude,Elevation,Time,Track,Campaign,Link
254.2547,39.81129,3520.322,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.67862,39.8125,2358.602,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2541,39.814396,3397.534,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.6792,39.81562,2394.971,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25351,39.81749,3439.828,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.67978,39.81873,2399.07,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25291,39.820583,3474.643,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68037,39.82183,2400.832,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25233,39.82369,3367.54,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68095,39.82493,2383.7980000000002,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25174,39.8268,3168.145,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68155,39.82803,2384.2580000000003,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25116,39.829903,3192.108,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68213,39.831135,2412.3070000000002,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2506,39.833004,3169.502,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68271,39.834248,2436.763,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.25005,39.836105,3066.059,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68329,39.837345,2426.8160000000003,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2495,39.83921,2968.567,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68385,39.840435,2349.398,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24895,39.842316,2903.085,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68443,39.84353,2356.629,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2484,39.84542,2893.964,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.685,39.84662,2357.6530000000002,2005-11-17 14:43:11,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24783,39.848526,2892.83,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68556,39.84971,2280.896,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24725,39.85163,2889.004,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68613,39.852802,2155.073,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24669,39.85473,2887.3830000000003,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.6867,39.85591,2301.66,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2461,39.857822,2932.603,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68727,39.85902,2352.301,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2455,39.860916,2977.506,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68784,39.862118,2256.664,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2449,39.86401,2987.454,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68842,39.86522,2299.918,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24431,39.86711,2951.727,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.689,39.868324,2373.0660000000003,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.98582,39.86833,1636.6580000000001,2005-10-23 15:28:46,1307,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.23/GLAH06_634_2113_001_1307_2_01_0001.H5.ascii"
254.2437,39.870216,2940.228,2005-10-28 02:57:32,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.68958,39.87143,2345.626,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2431,39.873314,2967.4700000000003,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69017,39.87454,2322.728,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24251,39.87641,2903.216,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69075,39.87765,2269.574,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24193,39.87952,2789.338,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69135,39.880756,2163.627,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24135,39.882626,2793.322,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69193,39.883858,2210.954,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24078,39.885723,2783.945,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69252,39.886955,2296.592,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.24022,39.888824,2787.32,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69308,39.89005,2334.379,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23965,39.891926,2775.375,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69366,39.893154,2459.477,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2391,39.895027,2803.112,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69424,39.89626,2506.352,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
